,도로명,위도,경도,"아파트,연립다세대",단독주택,노상,백화점,슈퍼마켓,편의점,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,창고,유원지,학교,금융기관,의료기관,종교기관,주차장
56138,구암5길,37.4903469,126.9470523,,,,,,,,,,,,,,,,,,,
56141,남부순환로251길,37.4758216,126.9690593,,,,,,,,,,,,,,,,,,,
56148,난곡로35가길,37.4726482,126.9184554,,,,,,,,,,,,,,,,,,,
56150,관악로13길,37.4793974,126.9509931,,,,,,,,,,,,,,,,,,,
56159,문성로16가길,37.4757785,126.9143901,,,,,,,,,,,,,,,,,,,
56167,대학20길,37.4651169,126.9376616,,,,,,,,,,,,,,,,,,,
56171,남부순환로181길,37.4857016,126.9305457,,,,,,,,,,,,,,,,,,,
56172,국회단지8길,37.4882675,126.9418928,,,,,,,,,,,,,,,,,,,
56179,인헌12가길,37.4710505,126.9669496,,,,,,,,,,,,,,,,,,,
56195,신림로12길,37.4713603,126.9386969,,,,,,,,,,,,,,,,,,,
56206,국회단지18길,37.4896099,126.9430274,,,,,,,,,,,,,,,,,,,
56210,호암로26길,37.4705804,126.935806,,,,,,,,,,,,,,,,,,,
56212,관악로5길,37.4755796,126.9522372,,,,,,,,,,,,,,,,,,,
56215,난곡로12길,37.4658899,126.9203272,,,,,,,,,,,,,,,,,,,
56222,승방3나길,37.4725479,126.9800408,,,,,,,,,,,,,,,,,,,
56224,은천로38길,37.4854025,126.9548302,,,,,,,,,,,,,,,,,,,
56248,신림로21길,37.4684327,126.9348503,,,,,,,,,,,,,,,,,,,
56253,관악로14길,37.4791486,126.9540513,,,,,,,,,,,,,,,,,,,
56257,국회단지6길,37.4879099,126.9418836,,,,,,,,,,,,,,,,,,,
56276,양지7길,37.4704012,126.9304604,,,,,,,,,,,,,,,,,,,
56279,복은7길,37.4752634,126.9412839,,,,,,,,,,,,,,,,,,,
56289,대학16길,37.4656011,126.9372359,,,,,,,,,,,,,,,,,,,
56290,중앙2길,37.4845454,126.9539091,,,,,,,,,,,,,,,,,,,
56330,조원로11길,37.4840332,126.906606,,,,,,,,,,,,,,,,,,,
56342,조원로2길,37.4817424,126.9015934,,,,,,,,,,,,,,,,,,,
56344,남부순환로233길,37.4804773,126.958739,,,,,,,,,,,,,,,,,,,
56346,남부순환로206길,37.4806472,126.942117,,,,,,,,,,,,,,,,,,,
56347,은천로25가길,37.4876278,126.9506579,,,,,,,,,,,,,,,,,,,
56349,청룡13길,37.4771581,126.9462821,,,,,,,,,,,,,,,,,,,
56356,남부순환로159길,37.4841996,126.9194476,,,,,,,,,,,,,,,,,,,
56357,국회단지25길,37.4908041,126.9405207,,,,,,,,,,,,,,,,,,,
56365,광신길,37.4670833,126.9307308,,,,,,,,,,,,,,,,,,,
56422,남부순환로185길,37.48542,126.9323324,,,,,,,,,,,,,,,,,,,
56455,은천로10길,37.4852246,126.9410757,,,,,,,,,,,,,,,,,,,
56456,양지11길,37.4690859,126.9287016,,,,,,,,,,,,,,,,,,,
56464,남부순환로246가길,37.4754218,126.9649716,,,,,,,,,,,,,,,,,,,
56468,관악로29길,37.487113,126.956723,,,,,,,,,,,,,,,,,,,
56481,국회단지27길,37.4911657,126.9404512,,,,,,,,,,,,,,,,,,,
56494,난곡로51길,37.4783016,126.9137952,,,,,,,,,,,,,,,,,,,
56509,봉천로23가길,37.4876328,126.9354125,,,,,,,,,,,,,,,,,,,
56510,남부순환로182길,37.4834596,126.9316245,,,,,,,,,,,,,,,,,,,
56529,남현6길,37.4737541,126.9750825,,,,,,,,,,,,,,,,,,,
56534,봉천로49다길,37.4830805,126.9515795,,,,,,,,,,,,,,,,,,,
56538,승방3가길,37.4723368,126.9794808,,,,,,,,,,,,,,,,,,,
56608,관악로15길,37.4803582,126.9507634,,,,,,,,,,,,,,,,,,,
56650,솔밭로4길,37.4789796,126.963544,,,,,,,,,,,,,,,,,,,
56651,쑥고개로30길,37.4780007,126.9503012,,,,,,,,,,,,,,,,,,,
56652,호암로24길,37.4697004,126.9354905,,,,,,,,,,,,,,,,,,,
56657,신림로44다길,37.478446,126.9360317,,,,,,,,,,,,,,,,,,,
56658,남부순환로190가길,37.4825792,126.9339568,,,,,,,,,,,,,,,,,,,
56663,승방4길,37.4745448,126.9806317,,,,,,,,,,,,,,,,,,,
56668,난곡로34가길,37.4729782,126.9202709,,,,,,,,,,,,,,,,,,,
56670,남부순환로152길,37.4816107,126.9187943,,,,,,,,,,,,,,,,,,,
56674,인헌16다길,37.4686638,126.9661478,,,,,,,,,,,,,,,,,,,
56675,봉천로18길,37.4870641,126.9317722,,,,,,,,,,,,,,,,,,,
56710,남부순환로186가길,37.4835811,126.9330434,,,,,,,,,,,,,,,,,,,
56713,신림로67길,37.486055,126.9284447,,,,,,,,,,,,,,,,,,,
56726,봉천로8길,37.4884651,126.9271136,,,,,,,,,,,,,,,,,,,
56736,은천로41길,37.4862277,126.9555019,,,,,,,,,,,,,,,,,,,
56742,신림로53길,37.4796117,126.9299976,,,,,,,,,,,,,,,,,,,
56748,참숯4길,37.477114,126.9411313,,,,,,,,,,,,,,,,,,,
56750,남부순환로218길,37.4802248,126.9503786,,,,,,,,,,,,,,,,,,,
56754,법원단지20길,37.4738604,126.9235064,,,,,,,,,,,,,,,,,,,
56758,봉천로5길,37.490324,126.9243581,,,,,,,,,,,,,,,,,,,
56794,남부순환로188길,37.4843856,126.9336872,,,,,,,,,,,,,,,,,,,
56797,행운9길,37.4828947,126.9602878,,,,,,,,,,,,,,,,,,,
56798,신림로44나길,37.4782211,126.9357539,,,,,,,,,,,,,,,,,,,
56801,난곡로24라길,37.4686705,126.9219984,,,,,,,,,,,,,,,,,,,
56823,문성로16다길,37.4717344,126.9116885,,,,,,,,,,,,,,,,,,,
56824,신림로7길,37.4698297,126.9414927,,,,,,,,,,,,,,,,,,,
56870,호암로22길,37.4682891,126.9360771,,,,,,,,,,,,,,,,,,,
56875,난향5길,37.4621625,126.9166123,,,,,,,,,,,,,,,,,,,
56898,남부순환로262길,37.4756842,126.974354,,,,,,,,,,,,,,,,,,,
56905,법원단지9길,37.4754384,126.9223968,,,,,,,,,,,,,,,,,,,
56909,문성로31길,37.4797036,126.9289706,,,,,,,,,,,,,,,,,,,
56931,서원1길,37.4773176,126.9338646,,,,,,,,,,,,,,,,,,,
56935,장군봉6길,37.4815182,126.9383883,,,,,,,,,,,,,,,,,,,
56944,남부순환로256다길,37.4726283,126.9733369,,,,,,,,,,,,,,,,,,,
56957,신림로64길,37.4851956,126.931931,,,,,,,,,,,,,,,,,,,
56973,낙성대역8길,37.4737075,126.9611837,,,,,,,,,,,,,,,,,,,
57011,인헌23길,37.4700396,126.9704434,,,,,,,,,,,,,,,,,,,
57026,난향16길,37.4638393,126.9152262,,,,,,,,,,,,,,,,,,,
57054,쑥고개로26길,37.4775086,126.9492987,,,,,,,,,,,,,,,,,,,
57055,남부순환로154길,37.4813214,126.9199947,,,,,,,,,,,,,,,,,,,
57088,복은12길,37.4746452,126.9419091,,,,,,,,,,,,,,,,,,,
57112,남현3가길,37.4740009,126.9769232,,,,,,,,,,,,,,,,,,,
57122,남부순환로208길,37.4816638,126.9434069,,,,,,,,,,,,,,,,,,,
57123,청룡8길,37.4801664,126.9444264,,,,,,,,,,,,,,,,,,,
57124,성림2길,37.4651129,126.9306869,,,,,,,,,,,,,,,,,,,
57130,양녕로6가길,37.4858511,126.9489721,,,,,,,,,,,,,,,,,,,
