,road,latitude_road,longitude_road,murder,robber,rape,theft,violence,crime_counts,camera,latitude_camera,longitude_camera,total_p,total_m,total_f,interval,lamp
91,양지3길,37.4707511,126.9311485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
92,양지4길,37.4702859,126.93117759999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
93,남부순환로241길,37.4792177,126.9628467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
94,태흥길,37.46652879999999,126.9304158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
95,남부순환로256가길,37.4754819,126.9726641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
96,승방7길,37.4725617,126.9797612,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,,
97,장군봉13길,37.47978610000001,126.9398798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
98,난곡로63가길,37.48082210000001,126.91416370000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
99,은천로35마길,37.4884642,126.9532998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
100,난곡로22길,37.4690569,126.920459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
101,은천로1길,37.4868664,126.9363827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
102,약수암1길,37.459972,126.9332162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
103,조원로20길,37.4837438,126.9131169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
104,광신1길,37.4685565,126.92914240000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
105,봉천로62길,37.4777963,126.9588307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
106,호암로22가길,37.46829,126.93329579999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
107,남현12길,37.4717989,126.97266,0.0,0.0,0.0,1.0,1.0,2.0,10.0,37.47219054,126.9720775,,,,,
108,법원단지36길,37.4757006,126.9253527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
109,봉천로6길,37.48820360000001,126.9258835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
110,인헌16가길,37.4691836,126.9681596,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,,,,,
111,서원2길,37.4778834,126.9321238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
112,난곡로44길,37.4760178,126.9169094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
113,법원단지14길,37.4730717,126.92213390000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
114,난곡로35라길,37.4712608,126.9184099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
115,봉천로15길,37.4886223,126.9316856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
116,난곡로38길,37.4748856,126.917839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
117,국회단지19길,37.4899285,126.9414892,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.48977919,126.94214960000001,,,,,
118,남부순환로161가길,37.4848341,126.9167053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
119,광신3길,37.4674505,126.9296215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
120,보라매로3길,37.4914449,126.92586609999998,0.0,0.0,2.0,4.0,5.0,11.0,1.0,37.49129863,126.926533,,,,,
121,은천로35바길,37.48829310000001,126.954535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.48821956,126.95514479999999,,,,,
122,국회단지11길,37.4889427,126.9403817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
123,쑥고개로22길,37.47767929999999,126.9482904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
124,낙성대역12길,37.4737854,126.963718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
